SRL #,Date -Sampled-,Sample Site,Shellfish -code-,Mod-PSP Median,PSP -ug/100 g-,County,Sample Type,Species,Latitude,Longitude
M22P000610,9/6/22,"Tomales Bay, Lease #M430-14",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.174389,-122.906899
M22P000611,9/6/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000612,9/6/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000613,9/5/22,"Tomales Bay, Lease #M430-15-M",MUBS,n,,Marin,"Bay Mussel, Sentinel",Mytilus gallo/trossulus/edulis,38.2176,-122.9437
M22P000614,8/31/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000615,9/2/22,"Bodega Harbor, USCG Dock",MUSS,,44,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M22P000625,9/7/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000626,9/12/22,"Tomales Bay, Lease #M430-15-M",MUBS,,39,Marin,"Bay Mussel, Sentinel",Mytilus gallo/trossulus/edulis,38.2176,-122.9437
M22P000627,9/12/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000628,9/12/22,"Tomales Bay, Lease #M430-14",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.174389,-122.906899
M22P000629,9/12/22,"Tomales Bay, Lease #M430-17",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000636,9/12/22,"Drakes Bay, Chimney Rock LBS",MUSS,,43,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
