SRL #,Date -Sampled-,Sample Site,Shellfish -code-,Mod-PSP Median,PSP -ug/100 g-,County,Sample Type,Species,Latitude,Longitude
M21P00914,12/15/21,"Tomales Bay, Lease #M430-02",OYPC,<,33,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9401
M21P00916,12/20/21,"Tomales Bay, Lease #M430-06-M",MUBC,<,36,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M21P00917,12/20/21,"Tomales Bay, Lease #M430-15-M",MUSS,<,36,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M21P00918,12/20/21,"Tomales Bay, Lease #M430-02",OYPC,<,33,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9401
M21P00926,12/22/21,Santa Cruz Wharf,MUSS,<,34,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M21P00932,12/27/21,"Tomales Bay, Lease #M430-02",OYPC,<,33,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9401
M21P00933,12/28/21,"Tomales Bay, Lease #M430-15-M",MUSS,<,33,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M21P00934,12/27/21,"Tomales Bay, Lease #M430-06-M",MUBC,<,34,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M21P00935,12/28/21,"Bodega Harbor, USCG Dock",MUSS,<,34,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M22P00001,1/3/22,"Tomales Bay, Lease #M430-17",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P00002,1/3/22,"Tomales Bay, Lease #M430-15-M",MUSS,<,36,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P00003,1/1/22,"Tomales Bay, Lease #M430-06-M",MUBC,<,34,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P00012,12/30/21,"Drakes Bay, Chimney Rock LBS",MUSS,<,34,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M22P00017,1/1/22,"Jenner, Russian Gulch Beach",MUSW,<,35,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.460422,-123.151906
M22P00022,1/10/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P00023,1/9/22,"Tomales Bay, Lease #M430-06-M",MUBC,<,34,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P00024,1/9/22,"Tomales Bay, Lease #M430-15-M",MUSS,<,34,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P00033,1/9/22,"Bodega Bay, Shorttail Gulch",MUSW,<,36,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.302938,-123.013176
M22P00034,1/5/22,Santa Cruz Wharf,MUSS,<,34,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000348,5/23/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000349,5/23/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000350,5/23/22,"Tomales Bay, Lease #M430-15-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P000351,5/18/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000352,5/20/22,China Beach,MUSW,n,,San Francisco,"Sea Mussel, wild",Mytilus californianus,37.787573,-122.494628
M22P000353,5/20/22,"Pacifica, Mori Point",MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.620128,-122.498959
M22P000358,5/18/22,"Jenner, Russian Gulch Beach",MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.460422,-123.151906
M22P000361,5/22/22,Kashia Coastal Reserve,MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.616162,-123.374748
M22P000364,5/23/22,Muir Beach,MUSW,n,,Marin,"Sea Mussel, wild",Mytilus californianus,37.859779,-122.578138
M22P000368,5/25/22,"Bodega Harbor, USCG Dock",MUSS,n,,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M22P000372,5/25/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000373,5/31/22,"Tomales Bay, Lease #M430-15-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P000374,5/31/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000378,5/27/22,"Drakes Bay, Chimney Rock LBS",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
